result,parameter,group,scenario,vaxCoverage,tpLevel,boostStart,immuneEscape,icer
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.25 yr,1.50 yr,5.106865460734402
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.50 yr,1.50 yr,-971.872544692487
Low,Dis. weight moderate,A,Random boost,80%,low TP,1.75 yr,1.75 yr,7049.677610868187
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.00 yr,1.75 yr,17322.69755994637
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.25 yr,1.75 yr,28231.224612140053
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.50 yr,1.75 yr,20966.20640225237
Low,Dis. weight moderate,A,Random boost,80%,low TP,1.75 yr,2.00 yr,6240.66956042671
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.00 yr,2.00 yr,2814.6380661083194
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.25 yr,2.00 yr,19855.946590207703
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.50 yr,2.00 yr,29019.464383477876
Low,Dis. weight moderate,A,Random boost,80%,low TP,1.75 yr,2.25 yr,15900.682242082066
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.00 yr,2.25 yr,6063.727086014642
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.25 yr,2.25 yr,2645.5338473572774
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.50 yr,2.25 yr,34699.40820493786
Low,Dis. weight moderate,A,Random boost,80%,low TP,1.75 yr,2.50 yr,6178.860312691299
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.00 yr,2.50 yr,5351.510564310308
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.25 yr,2.50 yr,3185.857741212275
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.50 yr,2.50 yr,1750.457868574371
Low,Dis. weight moderate,B,No further boost,80%,low TP,Never,1.50 yr,NA
Low,Dis. weight moderate,B,No further boost,80%,low TP,Never,1.75 yr,NA
Low,Dis. weight moderate,B,No further boost,80%,low TP,Never,2.00 yr,NA
Low,Dis. weight moderate,B,No further boost,80%,low TP,Never,2.25 yr,NA
Low,Dis. weight moderate,B,No further boost,80%,low TP,Never,2.50 yr,NA
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,1.75 yr,1.50 yr,-239115.80922004578
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.00 yr,1.50 yr,-3173556.7923300653
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.25 yr,1.50 yr,162018.1825745368
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.50 yr,1.50 yr,-170790.82652016668
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,1.75 yr,1.75 yr,165277.34949239346
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.00 yr,1.75 yr,71929.26491213571
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.25 yr,1.75 yr,31665.386157005814
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.50 yr,1.75 yr,40671.82549879967
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,1.75 yr,2.00 yr,335745.9614572803
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.00 yr,2.00 yr,1051476.9998883333
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.25 yr,2.00 yr,-142114.11385386478
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.50 yr,2.00 yr,-134832.56508246955
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,1.75 yr,2.25 yr,-87185.97730150717
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.00 yr,2.25 yr,150495.86039868754
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.25 yr,2.25 yr,66121.6939151434
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.50 yr,2.25 yr,406053.5838438503
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,1.75 yr,2.50 yr,225589.1458550774
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.00 yr,2.50 yr,131732.57052818645
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.25 yr,2.50 yr,67473.41563562793
Low,Dis. weight moderate,B,Pediatric boost,80%,low TP,2.50 yr,2.50 yr,59546.220576247244
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,1.75 yr,1.50 yr,4304.602878083483
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.00 yr,1.50 yr,2214.9770746318877
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.25 yr,1.50 yr,-1606.3958337608778
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.50 yr,1.50 yr,-2661.627648896299
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,1.75 yr,1.75 yr,-336.44672077240614
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.00 yr,1.75 yr,-2621.954615842293
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.25 yr,1.75 yr,-5321.84710141717
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.50 yr,1.75 yr,-8302.919187703326
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,1.75 yr,2.00 yr,558.7278574043117
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.00 yr,2.00 yr,-29.094717529086413
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.25 yr,2.00 yr,19062.13065997532
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.50 yr,2.00 yr,1037279.8394294837
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,1.75 yr,2.25 yr,1042.7838935540665
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.00 yr,2.25 yr,218.30894735477406
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.25 yr,2.25 yr,-28.329085144581754
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.50 yr,2.25 yr,14024.517734837931
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,1.75 yr,2.50 yr,-832.6328967884425
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.00 yr,2.50 yr,-934.7471147025587
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.25 yr,2.50 yr,-152.92111253675574
Low,Dis. weight moderate,B,High-risk boost,80%,low TP,2.50 yr,2.50 yr,-341.3720372361597
Low,Dis. weight moderate,B,Random boost,80%,low TP,1.75 yr,1.50 yr,76259.60417351594
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.00 yr,1.50 yr,32075.008115085937
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.25 yr,1.50 yr,21581.1326610847
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.50 yr,1.50 yr,-56436.509548635964
Low,Dis. weight moderate,B,Random boost,80%,low TP,1.75 yr,1.75 yr,8590.988995532933
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.00 yr,1.75 yr,6389.624586022942
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.25 yr,1.75 yr,858.1303286103704
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.50 yr,1.75 yr,-41.49265287705928
Low,Dis. weight moderate,B,Random boost,80%,low TP,1.75 yr,2.00 yr,12303.142110513427
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.00 yr,2.00 yr,8846.498043342077
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.25 yr,2.00 yr,-37480.727069832756
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.50 yr,2.00 yr,-61441.05237173408
Low,Dis. weight moderate,B,Random boost,80%,low TP,1.75 yr,2.25 yr,12772.982152654296
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.00 yr,2.25 yr,5967.9358098485245
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.25 yr,2.25 yr,4993.31583000407
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.50 yr,2.25 yr,151490.24454794038
Low,Dis. weight moderate,B,Random boost,80%,low TP,1.75 yr,2.50 yr,13752.868845690933
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.00 yr,2.50 yr,9752.037285742785
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.25 yr,2.50 yr,8730.777574219906
Low,Dis. weight moderate,B,Random boost,80%,low TP,2.50 yr,2.50 yr,7852.9073129467615
Low,Dis. weight moderate,A,No further boost,80%,high TP,Never,1.50 yr,NA
Low,Dis. weight moderate,A,No further boost,80%,high TP,Never,1.75 yr,NA
Low,Dis. weight moderate,A,No further boost,80%,high TP,Never,2.00 yr,NA
Low,Dis. weight moderate,A,No further boost,80%,high TP,Never,2.25 yr,NA
Low,Dis. weight moderate,A,No further boost,80%,high TP,Never,2.50 yr,NA
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,1.75 yr,1.50 yr,-102233.5982158184
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.00 yr,1.50 yr,-41195.358755552756
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.25 yr,1.50 yr,-45458.493577187095
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.50 yr,1.50 yr,92301.51737675416
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,1.75 yr,1.75 yr,-52830.023339249135
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.00 yr,1.75 yr,-36363.89401634478
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.25 yr,1.75 yr,-26470.002013744197
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.50 yr,1.75 yr,-44432.37748846577
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,1.75 yr,2.00 yr,-72663.5765114915
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.00 yr,2.00 yr,-81613.71636369426
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.25 yr,2.00 yr,58573.00498811249
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.50 yr,2.00 yr,75267.81476567822
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,1.75 yr,2.25 yr,241199.51184504494
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.00 yr,2.25 yr,205624.00016722485
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.25 yr,2.25 yr,46961.381052146695
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.50 yr,2.25 yr,50284.288868418254
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,1.75 yr,2.50 yr,28202.41154794855
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.00 yr,2.50 yr,40167.24217561495
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.25 yr,2.50 yr,29017.173840490104
Low,Dis. weight moderate,A,Pediatric boost,80%,high TP,2.50 yr,2.50 yr,53897.914945165794
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,1.75 yr,1.50 yr,638.8563903987044
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.00 yr,1.50 yr,-755.7229034913146
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.25 yr,1.50 yr,963.7110529634364
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.50 yr,1.50 yr,-45082.9646634942
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,1.75 yr,1.75 yr,-1394.4497599483673
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.00 yr,1.75 yr,3092.908457297714
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.25 yr,1.75 yr,617.8856617172091
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.50 yr,1.75 yr,2197.5097524891135
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,1.75 yr,2.00 yr,-2017.7282282237543
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.00 yr,2.00 yr,-1284.6984800369337
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.25 yr,2.00 yr,5872.763484903711
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.50 yr,2.00 yr,2850.527581577712
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,1.75 yr,2.25 yr,-2152.8699313863617
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.00 yr,2.25 yr,-2067.493631211888
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.25 yr,2.25 yr,-1014.6896358330306
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.50 yr,2.25 yr,91653.6788888245
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,1.75 yr,2.50 yr,-2044.2086208348646
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.00 yr,2.50 yr,-2127.589542545669
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.25 yr,2.50 yr,-2144.7282656725724
Low,Dis. weight moderate,A,High-risk boost,80%,high TP,2.50 yr,2.50 yr,-1522.3535681866854
Low,Dis. weight moderate,A,Random boost,80%,high TP,1.75 yr,1.50 yr,13449.233678850445
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.00 yr,1.50 yr,10277.235987798982
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.25 yr,1.50 yr,-95145.8018873149
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.50 yr,1.50 yr,2718.6266189320327
Low,Dis. weight moderate,A,Random boost,80%,high TP,1.75 yr,1.75 yr,15668.43061388773
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.00 yr,1.75 yr,-46985.75453016581
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.25 yr,1.75 yr,146023.3161160881
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.50 yr,1.75 yr,-126535.81439538555
Low,Dis. weight moderate,A,Random boost,80%,high TP,1.75 yr,2.00 yr,3428.150382085473
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.00 yr,2.00 yr,5706.16063859582
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.25 yr,2.00 yr,3537.4309381741327
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.50 yr,2.00 yr,1103.2348849992136
Low,Dis. weight moderate,A,Random boost,80%,high TP,1.75 yr,2.25 yr,15946.481323051215
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.00 yr,2.25 yr,8430.62948790782
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.25 yr,2.25 yr,7360.5368699848
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.50 yr,2.25 yr,47939.85125315303
Low,Dis. weight moderate,A,Random boost,80%,high TP,1.75 yr,2.50 yr,927.5196017142971
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.00 yr,2.50 yr,1000.4623584582449
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.25 yr,2.50 yr,574.8910201056983
Low,Dis. weight moderate,A,Random boost,80%,high TP,2.50 yr,2.50 yr,1719.514547883021
Low,Dis. weight moderate,B,No further boost,80%,high TP,Never,1.50 yr,NA
Low,Dis. weight moderate,B,No further boost,80%,high TP,Never,1.75 yr,NA
Low,Dis. weight moderate,B,No further boost,80%,high TP,Never,2.00 yr,NA
Low,Dis. weight moderate,B,No further boost,80%,high TP,Never,2.25 yr,NA
Low,Dis. weight moderate,B,No further boost,80%,high TP,Never,2.50 yr,NA
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,1.75 yr,1.50 yr,-193550.4108961924
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.00 yr,1.50 yr,-30838.559976946097
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.25 yr,1.50 yr,-31138.733784314987
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.50 yr,1.50 yr,-70426.09601940421
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,1.75 yr,1.75 yr,13405.124494897236
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.00 yr,1.75 yr,16587.917272217885
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.25 yr,1.75 yr,8513.774901179928
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.50 yr,1.75 yr,10725.071354313413
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,1.75 yr,2.00 yr,-20308.970604876933
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.00 yr,2.00 yr,-29113.305387652137
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.25 yr,2.00 yr,-49364.02712320898
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.50 yr,2.00 yr,-26165.93194382378
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,1.75 yr,2.25 yr,10063.217195312998
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.00 yr,2.25 yr,10567.267956409754
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.25 yr,2.25 yr,10611.944806563373
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.50 yr,2.25 yr,26999.17839558418
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,1.75 yr,2.50 yr,-15120.10596708315
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.00 yr,2.50 yr,-11828.541076677817
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.25 yr,2.50 yr,-14573.768512063389
Low,Dis. weight moderate,B,Pediatric boost,80%,high TP,2.50 yr,2.50 yr,-21853.436169512577
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,1.75 yr,1.50 yr,-2809.5982644782066
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.00 yr,1.50 yr,-4234.599222165482
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.25 yr,1.50 yr,-1118.3607977669778
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.50 yr,1.50 yr,-11746.46371663133
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,1.75 yr,1.75 yr,178.74664810619825
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.00 yr,1.75 yr,5857.3775237854215
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.25 yr,1.75 yr,3815.024385737863
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.50 yr,1.75 yr,1266.79056939738
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,1.75 yr,2.00 yr,-989.1514176150147
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.00 yr,2.00 yr,-23.554268779413015
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.25 yr,2.00 yr,-3231.3767521197356
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.50 yr,2.00 yr,-8477.653073472266
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,1.75 yr,2.25 yr,-1509.5674181704048
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.00 yr,2.25 yr,-141.09651658566833
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.25 yr,2.25 yr,792.4217992845232
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.50 yr,2.25 yr,9582.376785140881
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,1.75 yr,2.50 yr,-781.472638775352
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.00 yr,2.50 yr,-297.62719543942416
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.25 yr,2.50 yr,-253.62887033572795
Low,Dis. weight moderate,B,High-risk boost,80%,high TP,2.50 yr,2.50 yr,355.20516253102386
Low,Dis. weight moderate,B,Random boost,80%,high TP,1.75 yr,1.50 yr,31750.27375511445
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.00 yr,1.50 yr,-160745.74696469912
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.25 yr,1.50 yr,-27246.480452215932
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.50 yr,1.50 yr,6889.196340284525
Low,Dis. weight moderate,B,Random boost,80%,high TP,1.75 yr,1.75 yr,4335.615180122927
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.00 yr,1.75 yr,8647.263355476203
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.25 yr,1.75 yr,8056.966680733571
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.50 yr,1.75 yr,4665.164276227165
Low,Dis. weight moderate,B,Random boost,80%,high TP,1.75 yr,2.00 yr,9436.805574830072
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.00 yr,2.00 yr,19059.707743844054
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.25 yr,2.00 yr,87618.48670274857
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.50 yr,2.00 yr,27257.138842910656
Low,Dis. weight moderate,B,Random boost,80%,high TP,1.75 yr,2.25 yr,4979.680484774972
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.00 yr,2.25 yr,5491.421017794286
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.25 yr,2.25 yr,5590.615413852226
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.50 yr,2.25 yr,15852.52830969696
Low,Dis. weight moderate,B,Random boost,80%,high TP,1.75 yr,2.50 yr,4926.596895123866
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.00 yr,2.50 yr,16005.308048844685
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.25 yr,2.50 yr,9872.181927971847
Low,Dis. weight moderate,B,Random boost,80%,high TP,2.50 yr,2.50 yr,94209.93790506189
Low,Dis. weight moderate,C,No further vax,20.0%,low TP,Never,2.00 yr,NA
Low,Dis. weight moderate,C,Pediatric vax,20.0%,low TP,2.00 yr,2.00 yr,54236.700348258135
Low,Dis. weight moderate,C,High-risk boost,20.0%,low TP,2.00 yr,2.00 yr,1625.7558965385044
Low,Dis. weight moderate,C,Random vax,20.0%,low TP,2.00 yr,2.00 yr,8752.314833663673
Low,Dis. weight moderate,B,No further vax,50.0%,low TP,Never,2.00 yr,NA
Low,Dis. weight moderate,B,Pediatric vax,50.0%,low TP,2.00 yr,2.00 yr,63640.88513839616
Low,Dis. weight moderate,B,High-risk boost,50.0%,low TP,2.00 yr,2.00 yr,480.794541044848
Low,Dis. weight moderate,B,Random vax,50.0%,low TP,2.00 yr,2.00 yr,31272.876118015487
Low,Dis. weight moderate,C,No further vax,20.0%,high TP,Never,2.00 yr,NA
Low,Dis. weight moderate,C,Pediatric vax,20.0%,high TP,2.00 yr,2.00 yr,24547.029763279745
Low,Dis. weight moderate,C,High-risk boost,20.0%,high TP,2.00 yr,2.00 yr,2115.069619492104
Low,Dis. weight moderate,C,Random vax,20.0%,high TP,2.00 yr,2.00 yr,6137.440444847818
Low,Dis. weight moderate,B,No further vax,50.0%,high TP,Never,2.00 yr,NA
Low,Dis. weight moderate,B,Pediatric vax,50.0%,high TP,2.00 yr,2.00 yr,110373.22156332766
Low,Dis. weight moderate,B,High-risk boost,50.0%,high TP,2.00 yr,2.00 yr,1401.807253934178
Low,Dis. weight moderate,B,Random vax,50.0%,high TP,2.00 yr,2.00 yr,14690.037999622255
