WTP,Boost,noBoost,strategy
14100,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14200,0.9368,0.0632,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14300,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14400,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14500,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14600,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14700,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14800,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14900,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15000,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15100,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15200,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15300,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15400,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15500,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15600,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15700,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15800,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15900,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16000,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16100,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16200,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16300,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16400,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16500,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16600,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16700,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16800,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16900,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17000,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17100,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17200,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17300,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17400,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17500,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17600,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17700,0.9368,0.0632,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17800,0.9368,0.0632,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17900,0.9368,0.0632,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18000,0.9368,0.0632,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18100,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18200,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18300,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18400,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18500,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18600,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18700,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18800,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18900,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19000,0.9358,0.0642,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19100,0.9356,0.0644,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19200,0.9356,0.0644,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19300,0.9354,0.0646,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19400,0.9354,0.0646,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19500,0.9354,0.0646,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19600,0.9352,0.0648,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19700,0.9352,0.0648,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19800,0.9352,0.0648,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19900,0.9352,0.0648,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20000,0.935,0.065,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20100,0.9348,0.0652,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20200,0.9348,0.0652,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20300,0.9348,0.0652,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20400,0.9348,0.0652,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20500,0.935,0.065,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20600,0.935,0.065,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20700,0.935,0.065,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20800,0.9352,0.0648,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20900,0.935,0.065,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21000,0.935,0.065,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21100,0.9352,0.0648,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21200,0.9352,0.0648,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21300,0.9354,0.0646,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21400,0.9356,0.0644,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21500,0.9354,0.0646,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21600,0.9354,0.0646,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21700,0.9354,0.0646,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21800,0.935,0.065,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21900,0.935,0.065,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22000,0.9348,0.0652,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22100,0.9348,0.0652,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22200,0.9348,0.0652,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22300,0.9346,0.0654,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22400,0.9346,0.0654,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22500,0.9346,0.0654,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22600,0.9344,0.0656,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22700,0.9344,0.0656,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22800,0.9344,0.0656,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22900,0.9342,0.0658,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23000,0.9342,0.0658,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23100,0.9342,0.0658,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23200,0.9342,0.0658,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23300,0.9344,0.0656,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23400,0.9344,0.0656,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23500,0.9344,0.0656,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23600,0.9344,0.0656,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23700,0.9342,0.0658,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23800,0.9342,0.0658,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23900,0.9342,0.0658,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24000,0.9342,0.0658,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24100,0.9342,0.0658,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24200,0.934,0.066,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24300,0.9338,0.0662,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24400,0.9338,0.0662,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24500,0.9338,0.0662,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24600,0.9336,0.0664,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24700,0.9336,0.0664,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24800,0.9336,0.0664,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24900,0.9338,0.0662,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25000,0.9338,0.0662,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25100,0.9332,0.0668,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25200,0.9332,0.0668,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25300,0.933,0.067,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25400,0.9332,0.0668,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25500,0.933,0.067,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25600,0.933,0.067,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25700,0.933,0.067,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25800,0.933,0.067,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25900,0.9328,0.0672,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26000,0.9328,0.0672,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26100,0.9328,0.0672,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26200,0.9328,0.0672,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26300,0.933,0.067,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26400,0.933,0.067,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26500,0.9328,0.0672,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26600,0.9328,0.0672,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26700,0.9326,0.0674,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26800,0.9326,0.0674,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26900,0.9326,0.0674,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27000,0.9328,0.0672,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27100,0.9326,0.0674,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27200,0.9324,0.0676,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27300,0.932,0.068,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27400,0.9316,0.0684,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27500,0.9316,0.0684,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
