WTP,Boost,noBoost,strategy,population
2800,0.7162,0.2838,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
2900,0.7188,0.2812,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
3000,0.723,0.277,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
3100,0.7258,0.2742,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
3200,0.7282,0.2718,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
3300,0.7318,0.2682,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
3400,0.7346,0.2654,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
3500,0.738,0.262,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
3600,0.7402,0.2598,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
3700,0.743,0.257,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
3800,0.7452,0.2548,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
3900,0.7478,0.2522,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
4000,0.7506,0.2494,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
4100,0.7542,0.2458,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
4200,0.757,0.243,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
4300,0.7596,0.2404,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
4400,0.7628,0.2372,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
4500,0.765,0.235,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
4600,0.7666,0.2334,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
4700,0.7686,0.2314,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
4800,0.7704,0.2296,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
4900,0.7718,0.2282,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
5000,0.7742,0.2258,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
5100,0.7762,0.2238,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
5200,0.7776,0.2224,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
5300,0.78,0.22,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
5400,0.7806,0.2194,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
5500,0.7828,0.2172,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
5600,0.7848,0.2152,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
5700,0.786,0.214,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
5800,0.7878,0.2122,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
5900,0.7894,0.2106,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
6000,0.7906,0.2094,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
6100,0.7926,0.2074,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
6200,0.7936,0.2064,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
6300,0.7948,0.2052,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
6400,0.7952,0.2048,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
6500,0.7972,0.2028,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
6600,0.798,0.202,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
6700,0.799,0.201,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
6800,0.8006,0.1994,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
6900,0.8024,0.1976,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
7000,0.8044,0.1956,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
7100,0.8058,0.1942,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
7200,0.806,0.194,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
7300,0.8074,0.1926,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
7400,0.8088,0.1912,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
7500,0.8092,0.1908,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
7600,0.8104,0.1896,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
7700,0.8112,0.1888,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
7800,0.812,0.188,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
7900,0.8122,0.1878,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
8000,0.8136,0.1864,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
8100,0.815,0.185,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
8200,0.8164,0.1836,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
8300,0.8162,0.1838,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
8400,0.817,0.183,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
8500,0.8174,0.1826,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
8600,0.8186,0.1814,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
8700,0.8188,0.1812,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
8800,0.8196,0.1804,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
8900,0.82,0.18,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
9000,0.821,0.179,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
9100,0.8222,0.1778,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
9200,0.8228,0.1772,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
9300,0.8238,0.1762,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
9400,0.8242,0.1758,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
9500,0.8246,0.1754,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
9600,0.8254,0.1746,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
9700,0.8258,0.1742,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
9800,0.8268,0.1732,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
9900,0.827,0.173,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
10000,0.8284,0.1716,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
10100,0.8292,0.1708,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
10200,0.8296,0.1704,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
10300,0.8304,0.1696,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
10400,0.8306,0.1694,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
10500,0.8308,0.1692,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
10600,0.8318,0.1682,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
10700,0.8324,0.1676,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
10800,0.8328,0.1672,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
10900,0.8342,0.1658,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
11000,0.8342,0.1658,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
11100,0.835,0.165,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
11200,0.8354,0.1646,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
11300,0.8356,0.1644,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
11400,0.8364,0.1636,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
11500,0.8368,0.1632,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
11600,0.8374,0.1626,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
11700,0.8382,0.1618,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
11800,0.839,0.161,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
11900,0.8392,0.1608,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
12000,0.8396,0.1604,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
12100,0.8404,0.1596,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
12200,0.8412,0.1588,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
12300,0.8416,0.1584,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
12400,0.8426,0.1574,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
12500,0.8428,0.1572,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
12600,0.843,0.157,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
12700,0.8432,0.1568,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
12800,0.8438,0.1562,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
12900,0.8448,0.1552,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
13000,0.8448,0.1552,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
13100,0.8454,0.1546,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
13200,0.8462,0.1538,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
13300,0.8462,0.1538,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
13400,0.8468,0.1532,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
13500,0.8476,0.1524,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
13600,0.848,0.152,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
13700,0.8484,0.1516,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
13800,0.8482,0.1518,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
13900,0.8486,0.1514,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
14000,0.8488,0.1512,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
14100,0.849,0.151,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
14200,0.849,0.151,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
14300,0.8488,0.1512,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
14400,0.849,0.151,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
14500,0.849,0.151,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
14600,0.8496,0.1504,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
14700,0.8496,0.1504,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
14800,0.8498,0.1502,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
14900,0.8502,0.1498,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
15000,0.8502,0.1498,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
15100,0.8502,0.1498,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
15200,0.8502,0.1498,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
15300,0.85,0.15,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
15400,0.8502,0.1498,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
15500,0.8502,0.1498,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
15600,0.8504,0.1496,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
15700,0.851,0.149,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
15800,0.8512,0.1488,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
15900,0.8512,0.1488,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
16000,0.8516,0.1484,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
16100,0.8516,0.1484,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
16200,0.8522,0.1478,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
16300,0.8522,0.1478,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
16400,0.8526,0.1474,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
16500,0.853,0.147,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
16600,0.8536,0.1464,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
16700,0.854,0.146,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
16800,0.8544,0.1456,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
16900,0.8546,0.1454,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
17000,0.8546,0.1454,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
17100,0.8554,0.1446,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
17200,0.8556,0.1444,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
17300,0.8558,0.1442,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
17400,0.8564,0.1436,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
17500,0.8564,0.1436,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
17600,0.8566,0.1434,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
17700,0.8566,0.1434,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
17800,0.8568,0.1432,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
17900,0.8574,0.1426,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
18000,0.8578,0.1422,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
18100,0.8578,0.1422,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
18200,0.8576,0.1424,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
18300,0.8576,0.1424,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
18400,0.8582,0.1418,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
18500,0.8586,0.1414,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
18600,0.859,0.141,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
18700,0.859,0.141,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
18800,0.859,0.141,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
18900,0.8592,0.1408,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
19000,0.8594,0.1406,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
19100,0.86,0.14,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
19200,0.8602,0.1398,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
19300,0.8606,0.1394,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
19400,0.8608,0.1392,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
19500,0.8612,0.1388,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
19600,0.8614,0.1386,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
19700,0.8618,0.1382,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
19800,0.8618,0.1382,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
19900,0.8618,0.1382,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
20000,0.862,0.138,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
20100,0.8622,0.1378,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
20200,0.86240000000000006,0.1376,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
20300,0.863,0.137,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
20400,0.8632,0.1368,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
20500,0.8632,0.1368,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
20600,0.8632,0.1368,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
20700,0.8634,0.1366,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
20800,0.8636,0.1364,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
20900,0.8636,0.1364,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
21000,0.864,0.136,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
21100,0.8642,0.1358,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
21200,0.8642,0.1358,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
21300,0.8642,0.1358,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
21400,0.8642,0.1358,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
21500,0.8646,0.1354,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
21600,0.8648,0.1352,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
21700,0.865,0.135,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
21800,0.8652,0.1348,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
21900,0.8652,0.1348,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
22000,0.8654,0.1346,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
22100,0.8654,0.1346,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
22200,0.8654,0.1346,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
22300,0.8656,0.1344,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
22400,0.8656,0.1344,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
22500,0.8658,0.1342,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
22600,0.8658,0.1342,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
22700,0.8658,0.1342,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
22800,0.866,0.134,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
22900,0.866,0.134,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
23000,0.866,0.134,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
23100,0.866,0.134,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
23200,0.866,0.134,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
23300,0.8662,0.1338,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
23400,0.8664,0.1336,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
23500,0.8666,0.1334,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
23600,0.8668,0.1332,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
23700,0.8672,0.1328,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
23800,0.8674,0.1326,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
23900,0.8676,0.1324,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
24000,0.8678,0.1322,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
24100,0.8678,0.1322,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
24200,0.868,0.132,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
24300,0.8682,0.1318,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
24400,0.8684,0.1316,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
24500,0.8686,0.1314,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
24600,0.8688,0.1312,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
24700,0.8688,0.1312,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
24800,0.8688,0.1312,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
24900,0.8692,0.1308,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
25000,0.8692,0.1308,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
25100,0.8696,0.1304,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
25200,0.87,0.13,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
25300,0.8702,0.1298,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
25400,0.8704,0.1296,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
25500,0.8704,0.1296,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
25600,0.8704,0.1296,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
25700,0.8708,0.1292,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
25800,0.8708,0.1292,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
25900,0.8708,0.1292,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
26000,0.8708,0.1292,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
26100,0.871,0.129,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
26200,0.8712,0.1288,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
26300,0.8712,0.1288,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
26400,0.8714,0.1286,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
26500,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
26600,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
26700,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
26800,0.8718,0.1282,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
26900,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
27000,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
27100,0.8718,0.1282,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
27200,0.8718,0.1282,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
27300,0.8718,0.1282,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
27400,0.8718,0.1282,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
27500,0.8718,0.1282,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
27600,0.8718,0.1282,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
27700,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
27800,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
27900,0.8714,0.1286,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
28000,0.8714,0.1286,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
28100,0.8714,0.1286,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
28200,0.8714,0.1286,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
28300,0.8714,0.1286,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
28400,0.8714,0.1286,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
28500,0.8714,0.1286,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
28600,0.8714,0.1286,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
28700,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
28800,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
28900,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
29000,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
29100,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
29200,0.8716,0.1284,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
