population size,population type,scenario,1st year vaccination coverage,transmission potential level,boosting starts,immune escape starts,time period,iteration,total_infections_all_ages,total_symptomatic_infections_all_ages,total_admissions_all_ages,total_ward_occupancy_all_ages,total_ICU_admissions_all_ages,total_ICU_occupancy_all_ages,total_deaths_all_ages,total_deaths_ages_0-9,total_deaths_ages_10-19,total_deaths_ages_20-29,total_deaths_ages_30-39,total_deaths_ages_40-49,total_deaths_ages_50-59,total_deaths_ages_60-69,total_deaths_ages_70-79,total_deaths_ages_80+
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,34,146037,44917,307,2507,34,235,29,0,0,0,0,1,3,8,14,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,35,146037,44917,280,2895,23,255,26,1,0,0,1,0,2,5,14,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,36,150907,46779,321,2712,34,199,22,0,0,0,0,0,2,5,9,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,37,150907,46779,305,2808,31,267,38,0,0,0,0,0,4,7,17,10
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,38,150907,46779,309,2941,29,240,32,0,0,0,0,0,2,12,14,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,39,150907,46779,335,2611,35,259,40,0,0,1,0,0,4,9,17,9
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,40,150907,46779,323,2711,32,146,29,0,0,0,0,1,2,6,18,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,41,156509,48141,326,2765,25,201,35,0,0,0,1,0,3,8,16,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,42,156509,48141,301,2101,38,271,34,0,0,0,0,0,5,11,16,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,43,156509,48141,329,3093,31,152,38,0,0,0,0,2,2,12,20,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,44,156509,48141,338,3099,32,160,38,0,0,0,0,0,3,10,20,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,45,156509,48141,316,2728,39,216,26,0,0,0,0,1,1,8,11,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,46,144886,44950,317,2593,35,312,28,0,0,0,0,0,0,7,15,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,47,144886,44950,304,2492,23,133,24,0,0,0,0,1,2,10,9,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,48,144886,44950,293,3289,23,135,31,0,0,0,0,0,4,8,12,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,49,144886,44950,318,2319,38,400,36,0,0,0,0,0,6,10,17,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,50,144886,44950,305,2310,33,184,44,0,0,0,1,0,5,11,22,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,51,153818,47485,316,2390,31,236,26,0,0,0,0,0,4,6,12,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,52,153818,47485,294,1941,31,219,23,0,0,0,1,0,3,8,9,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,53,153818,47485,336,2442,27,187,22,0,0,0,0,0,1,6,13,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,54,153818,47485,315,2694,28,158,33,0,0,0,0,0,5,6,16,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,55,153818,47485,350,3389,43,298,39,0,0,0,0,4,5,11,15,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,56,154417,47631,322,2457,35,478,37,0,0,0,0,0,4,10,20,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,57,154417,47631,323,3115,37,292,34,0,0,0,0,0,2,13,16,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,58,154417,47631,310,2582,26,283,32,0,0,0,0,1,2,9,17,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,59,154417,47631,316,2731,33,192,31,0,0,0,0,0,2,10,9,10
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,60,154417,47631,357,3098,41,278,33,0,0,0,0,2,5,5,19,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,61,147884,45842,328,2583,44,595,46,0,0,0,0,0,4,16,21,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,62,147884,45842,314,2894,27,168,32,0,0,0,0,0,6,6,14,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,63,147884,45842,314,3238,30,271,30,0,0,0,0,1,3,7,13,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,64,147884,45842,325,2268,28,74,32,0,0,0,0,1,4,8,17,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,65,147884,45842,338,2554,27,174,41,0,0,0,0,1,1,13,21,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,66,153177,47067,310,3441,34,335,31,0,0,0,1,1,4,7,14,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,67,153177,47067,309,3025,31,255,35,0,0,0,0,0,5,7,14,9
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,68,153177,47067,333,3468,36,241,41,0,0,0,0,1,3,13,19,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,69,153177,47067,305,2327,26,118,26,0,0,0,1,0,2,5,13,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,70,153177,47067,318,3053,33,144,37,0,0,0,0,1,3,7,16,10
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,71,154732,47519,340,2480,36,303,32,0,0,0,0,0,4,8,14,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,72,154732,47519,339,2569,39,312,38,0,0,0,0,0,2,9,20,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,73,154732,47519,323,3163,30,175,34,1,0,0,0,0,2,11,11,9
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,74,154732,47519,350,3131,35,335,33,0,0,0,0,1,3,7,19,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,75,154732,47519,317,3156,33,304,26,0,0,0,0,0,2,9,9,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,76,154337,47582,304,2179,30,188,26,0,0,0,0,1,2,7,13,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,77,154337,47582,318,2282,33,256,34,0,0,0,0,0,5,9,14,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,78,154337,47582,297,3345,28,146,30,0,0,0,1,0,2,12,12,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,79,154337,47582,310,3192,24,237,33,0,0,0,0,0,2,6,19,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,80,154337,47582,323,2799,40,260,34,0,0,0,0,0,3,8,18,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,81,148107,45833,318,3036,40,311,31,0,0,0,0,0,1,9,15,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,82,148107,45833,310,2008,28,277,28,0,0,0,0,1,5,8,7,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,83,148107,45833,329,2779,35,254,41,0,0,0,0,2,5,12,16,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,84,148107,45833,320,2618,39,292,26,0,0,0,0,0,4,6,11,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,85,148107,45833,310,2340,30,243,29,0,0,0,0,0,1,10,14,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,86,154136,47536,354,2817,42,413,36,0,0,0,1,0,8,10,14,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,87,154136,47536,304,2389,30,165,26,0,0,0,0,0,3,4,18,1
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,88,154136,47536,345,3775,32,285,41,0,0,0,0,2,1,11,21,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,89,154136,47536,341,2978,28,204,28,0,0,0,0,1,1,9,15,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,90,154136,47536,325,2997,42,259,36,0,0,0,0,0,1,10,16,9
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,91,154135,47453,312,2851,31,236,31,0,0,0,0,0,4,8,13,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,92,154135,47453,307,2575,27,177,39,0,0,0,0,1,5,11,17,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,93,154135,47453,333,3196,26,255,36,0,0,1,0,1,3,7,20,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,94,154135,47453,357,2968,37,318,36,0,0,0,0,1,5,13,10,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,95,154135,47453,336,2130,33,172,26,0,0,0,0,0,2,7,16,1
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,96,146767,45157,304,2760,45,403,33,0,0,0,1,0,3,7,20,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,97,146767,45157,308,2223,33,257,26,0,0,0,0,0,4,7,15,0
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,98,146767,45157,313,3320,34,279,37,0,0,0,1,0,7,5,18,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,99,146767,45157,321,2199,23,147,31,0,0,0,0,1,1,8,18,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,100,146767,45157,282,2446,35,147,36,0,0,0,0,1,3,13,14,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,101,157929,48530,307,2858,35,228,32,0,0,0,0,0,3,10,17,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,102,157929,48530,312,3082,31,230,38,1,0,0,0,1,5,10,18,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,103,157929,48530,310,2617,29,182,28,0,0,0,0,1,4,8,13,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,104,157929,48530,345,2733,38,331,38,0,0,0,0,0,0,18,16,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,105,157929,48530,297,2371,33,366,32,0,0,1,0,1,6,10,11,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,106,150237,46186,317,3049,30,306,36,0,0,0,0,2,5,12,15,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,107,150237,46186,297,2232,36,169,34,0,0,0,0,0,6,11,10,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,108,150237,46186,282,2123,28,200,24,0,0,0,1,0,2,7,10,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,109,150237,46186,309,2447,25,176,20,0,0,0,0,1,2,6,8,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,110,150237,46186,315,2179,35,200,27,0,0,0,0,0,3,11,10,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,111,143421,44611,294,2385,32,198,23,0,0,0,0,0,1,6,11,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,112,143421,44611,294,2068,35,379,37,0,0,0,0,0,6,7,17,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,113,143421,44611,313,2147,30,191,18,0,0,0,0,0,4,7,5,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,114,143421,44611,306,2382,25,177,24,0,0,0,0,0,2,5,14,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,115,143421,44611,330,2638,41,242,37,0,0,0,0,1,2,13,14,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,116,146163,45165,282,1990,20,296,17,0,0,0,1,1,0,7,7,1
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,117,146163,45165,321,2827,33,248,35,0,0,0,0,1,4,7,17,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,118,146163,45165,309,2431,41,277,33,0,0,0,1,1,6,5,16,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,119,146163,45165,336,3546,27,137,38,0,0,0,0,1,5,11,16,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,120,146163,45165,276,1825,22,231,26,0,0,0,0,1,4,8,8,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,121,157162,48088,318,2674,24,353,29,0,0,0,0,0,2,10,13,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,122,157162,48088,324,2655,39,284,29,0,0,0,0,1,2,10,12,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,123,157162,48088,320,3142,27,150,29,0,0,0,0,1,0,12,10,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,124,157162,48088,353,2967,36,332,40,0,0,0,0,1,6,10,16,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,125,157162,48088,307,2705,27,232,28,0,0,0,1,0,3,7,12,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,126,143915,44448,303,2119,30,233,30,0,0,0,1,0,3,2,16,8
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,127,143915,44448,317,2718,31,243,37,0,0,0,0,0,2,12,18,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,128,143915,44448,297,2935,26,203,28,0,0,0,0,1,3,12,5,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,129,143915,44448,338,2500,35,212,24,0,0,0,0,1,3,6,13,1
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,130,143915,44448,313,2320,30,265,28,0,0,0,0,1,4,7,11,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,131,147371,45213,306,2433,41,499,30,0,0,0,1,2,3,9,12,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,132,147371,45213,279,1997,27,121,23,0,0,0,0,0,4,5,8,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,133,147371,45213,297,3716,22,233,33,0,0,0,1,0,3,5,17,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,134,147371,45213,322,2813,30,204,28,0,0,0,0,1,1,9,10,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,135,147371,45213,318,3245,32,231,28,0,0,0,0,0,1,11,13,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,136,146843,45505,322,2269,29,218,25,0,0,0,0,0,3,8,9,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,137,146843,45505,339,2406,25,106,25,1,0,0,0,0,3,10,8,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,138,146843,45505,325,2799,34,286,39,0,0,0,0,1,1,12,23,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,139,146843,45505,352,3188,29,173,39,0,0,1,0,0,2,11,17,8
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,140,146843,45505,316,2767,30,202,35,0,0,1,0,0,2,14,10,8
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,141,159323,48960,342,2539,31,408,33,0,0,0,0,0,4,8,15,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,142,159323,48960,322,2486,28,126,25,0,0,0,1,0,2,5,10,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,143,159323,48960,354,3905,36,153,26,0,0,0,1,0,2,8,9,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,144,159323,48960,340,3702,35,296,42,0,0,0,1,0,5,11,19,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,145,159323,48960,326,3192,38,306,34,0,0,0,1,0,5,11,11,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,146,156369,48117,301,2762,30,236,30,0,0,0,0,1,4,7,11,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,147,156369,48117,296,2966,31,143,31,0,0,1,0,0,1,8,13,8
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,148,156369,48117,321,2408,33,361,32,0,0,0,0,0,3,7,17,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,149,156369,48117,318,2599,24,222,37,0,0,0,1,0,4,10,19,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,150,156369,48117,345,3509,42,228,36,0,0,0,0,0,2,10,19,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,151,143826,44660,307,2094,39,391,37,0,0,0,1,1,9,8,11,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,152,143826,44660,317,2467,30,291,34,0,0,0,0,1,5,5,17,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,153,143826,44660,301,2805,22,238,33,0,0,0,0,0,2,11,14,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,154,143826,44660,296,1883,33,358,31,0,0,0,0,0,6,9,12,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,155,143826,44660,307,2903,31,213,30,0,0,0,0,0,2,14,10,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,156,141587,43338,309,2612,30,367,31,0,0,0,0,2,5,16,5,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,157,141587,43338,302,2393,31,232,27,0,0,0,0,0,1,10,13,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,158,141587,43338,333,3053,38,324,39,0,0,0,0,0,1,10,20,8
