population size,population type,scenario,1st year vaccination coverage,transmission potential level,boosting starts,immune escape starts,time period,total_mean_infections_all_ages,total_mean_symptomatic_infections_all_ages,total_mean_admissions_all_ages,total_mean_ward_occupancy_all_ages,total_mean_ICU_admissions_all_ages,total_mean_ICU_occupancy_all_ages,total_mean_deaths_ages_all_ages,total_mean_deaths_ages_0-9,total_mean_deaths_ages_10-19,total_mean_deaths_ages_20-29,total_mean_deaths_ages_30-39,total_mean_deaths_ages_40-49,total_mean_deaths_ages_50-59,total_mean_deaths_ages_60-69,total_mean_deaths_ages_70-79,total_mean_deaths_ages_80+
100000,older,further boosting pediatric,80.0%,TP_low,2.0 (year),2.5 (year),1.5 - 3.0 years,75354.18,27968.94,382.32,2735.19,38.122,283.53,30.096,0.004,0.002,0.082,0.234,0.748,3.396,7.86,13.94,3.83
100000,older,further boosting pediatric,80.0%,TP_low,2.25 (year),2.5 (year),1.5 - 3.0 years,76265.72,28235.04,383.0,2727.534,38.276,282.368,30.192,0.008,0.008,0.104,0.238,0.71,3.342,8.14,13.97,3.672
100000,older,further boosting pediatric,80.0%,TP_low,2.5 (year),2.5 (year),1.5 - 3.0 years,75174.32,27855.57,377.7,2724.42,37.766,277.288,28.922,0.012,0.004,0.092,0.282,0.746,3.236,7.61,13.376,3.564
100000,older,further boosting high risk,80.0%,TP_low,1.75 (year),1.5 (year),1.5 - 3.0 years,97553.05,34981.33,397.74,3067.512,40.308,306.842,34.264,0.012,0.01,0.1,0.246,0.896,3.964,9.17,15.432,4.434
100000,older,further boosting high risk,80.0%,TP_low,2.0 (year),1.5 (year),1.5 - 3.0 years,96762.14,34735.18,405.672,3230.862,41.056,317.91,36.438,0.014,0.004,0.098,0.27,0.886,4.016,9.442,16.868,4.84
100000,older,further boosting high risk,80.0%,TP_low,2.25 (year),1.5 (year),1.5 - 3.0 years,95990.22,34353.07,391.508,3065.914,39.564,302.264,34.304,0.02,0.01,0.11,0.26,0.802,4.02,8.99,15.524,4.568
100000,older,further boosting high risk,80.0%,TP_low,2.5 (year),1.5 (year),1.5 - 3.0 years,94751.65,33840.07,378.83,3063.134,37.582,287.596,33.342,0.018,0.004,0.1,0.324,0.788,3.978,8.468,15.24,4.422
100000,older,further boosting high risk,80.0%,TP_low,1.75 (year),1.75 (year),1.5 - 3.0 years,67750.89,24641.59,271.616,2062.832,28.806,223.682,23.242,0.002,0.008,0.088,0.238,0.706,3.528,6.522,9.426,2.724
100000,older,further boosting high risk,80.0%,TP_low,2.0 (year),1.75 (year),1.5 - 3.0 years,68177.52,25054.09,321.06,2633.404,32.726,252.148,29.744,0.016,0.01,0.086,0.238,0.682,3.496,7.612,13.588,4.016
100000,older,further boosting high risk,80.0%,TP_low,2.25 (year),1.75 (year),1.5 - 3.0 years,68019.94,25095.52,337.092,2818.872,34.168,268.28,31.876,0.006,0.004,0.104,0.22,0.628,3.372,8.16,14.978,4.404
100000,older,further boosting high risk,80.0%,TP_low,2.5 (year),1.75 (year),1.5 - 3.0 years,67279.99,24856.09,332.59,2813.92,33.518,270.3,31.786,0.008,0.016,0.116,0.26,0.642,3.338,8.294,14.736,4.376
100000,older,further boosting high risk,80.0%,TP_low,1.75 (year),2.0 (year),1.5 - 3.0 years,62971.88,23415.04,284.202,2203.982,28.826,233.594,25.798,0.002,0.01,0.114,0.266,0.658,3.52,7.078,10.872,3.278
100000,older,further boosting high risk,80.0%,TP_low,2.0 (year),2.0 (year),1.5 - 3.0 years,62413.11,23003.6,259.768,1966.24,26.874,205.184,22.404,0.01,0.006,0.114,0.214,0.69,3.332,6.24,9.186,2.612
100000,older,further boosting high risk,80.0%,TP_low,2.25 (year),2.0 (year),1.5 - 3.0 years,63408.8,23768.86,325.596,2717.118,33.006,255.488,30.932,0.01,0.006,0.076,0.264,0.742,3.552,8.21,13.942,4.13
100000,older,further boosting high risk,80.0%,TP_low,2.5 (year),2.0 (year),1.5 - 3.0 years,63932.19,24036.06,342.046,2843.83,33.958,267.126,32.782,0.0,0.004,0.098,0.242,0.762,3.46,8.528,15.144,4.544
100000,older,further boosting high risk,80.0%,TP_low,1.75 (year),2.25 (year),1.5 - 3.0 years,66572.23,24835.61,324.784,2510.932,32.012,251.35,28.51,0.01,0.01,0.116,0.286,0.826,3.536,7.734,12.428,3.564
100000,older,further boosting high risk,80.0%,TP_low,2.0 (year),2.25 (year),1.5 - 3.0 years,66699.42,24708.62,302.754,2266.938,30.212,238.466,25.738,0.006,0.004,0.102,0.292,0.796,3.606,7.05,10.768,3.114
100000,older,further boosting high risk,80.0%,TP_low,2.25 (year),2.25 (year),1.5 - 3.0 years,66154.49,24308.8,281.636,2045.734,28.846,222.672,23.306,0.012,0.006,0.098,0.25,0.816,3.472,6.696,9.252,2.704
100000,older,further boosting high risk,80.0%,TP_low,2.5 (year),2.25 (year),1.5 - 3.0 years,67339.92,25100.65,342.032,2731.266,33.466,263.734,30.39,0.006,0.012,0.102,0.278,0.816,3.44,8.032,13.662,4.042
100000,older,further boosting high risk,80.0%,TP_low,1.75 (year),2.5 (year),1.5 - 3.0 years,74951.05,27557.74,345.97,2387.89,34.45,251.022,25.134,0.006,0.004,0.086,0.272,0.646,3.098,7.006,10.932,3.084
100000,older,further boosting high risk,80.0%,TP_low,2.0 (year),2.5 (year),1.5 - 3.0 years,75060.8,27491.95,330.858,2242.582,32.906,244.348,23.424,0.01,0.006,0.082,0.254,0.696,3.224,6.578,9.924,2.65
100000,older,further boosting high risk,80.0%,TP_low,2.25 (year),2.5 (year),1.5 - 3.0 years,75504.2,27546.62,320.504,2198.434,32.278,235.342,23.55,0.01,0.002,0.084,0.226,0.714,3.28,6.456,10.206,2.572
100000,older,further boosting high risk,80.0%,TP_low,2.5 (year),2.5 (year),1.5 - 3.0 years,75523.66,27477.69,310.334,2132.966,31.124,231.082,22.802,0.008,0.01,0.082,0.262,0.694,3.314,6.334,9.414,2.684
100000,older,further boosting random,80.0%,TP_low,1.75 (year),1.5 (year),1.5 - 3.0 years,96369.01,34732.85,420.202,3329.342,42.114,326.18,37.286,0.016,0.008,0.106,0.282,0.814,3.924,9.614,17.614,4.908
100000,older,further boosting random,80.0%,TP_low,2.0 (year),1.5 (year),1.5 - 3.0 years,93283.48,33706.5,407.97,3230.282,41.174,310.97,35.708,0.008,0.01,0.132,0.27,0.8,3.896,9.338,16.748,4.506
100000,older,further boosting random,80.0%,TP_low,2.25 (year),1.5 (year),1.5 - 3.0 years,90042.92,32596.13,395.638,3169.114,39.738,298.9,34.878,0.016,0.004,0.132,0.256,0.802,3.67,8.988,16.454,4.556
100000,older,further boosting random,80.0%,TP_low,2.5 (year),1.5 (year),1.5 - 3.0 years,87794.48,31779.64,385.996,3115.584,37.992,290.236,33.8,0.016,0.006,0.098,0.26,0.75,3.59,8.654,15.89,4.536
100000,older,further boosting random,80.0%,TP_low,1.75 (year),1.75 (year),1.5 - 3.0 years,67879.97,24884.63,323.65,2692.976,32.692,257.958,30.316,0.01,0.01,0.08,0.236,0.74,3.198,7.742,14.328,3.972
100000,older,further boosting random,80.0%,TP_low,2.0 (year),1.75 (year),1.5 - 3.0 years,66213.57,24477.39,329.956,2772.998,33.53,262.718,31.516,0.01,0.0,0.114,0.23,0.744,3.358,8.13,14.628,4.302
100000,older,further boosting random,80.0%,TP_low,2.25 (year),1.75 (year),1.5 - 3.0 years,64934.6,24100.94,330.498,2844.412,33.376,258.05,31.884,0.014,0.0,0.094,0.244,0.706,3.24,8.17,15.054,4.362
100000,older,further boosting random,80.0%,TP_low,2.5 (year),1.75 (year),1.5 - 3.0 years,64459.21,23933.46,328.462,2819.014,32.328,257.664,31.78,0.008,0.002,0.106,0.234,0.696,3.232,8.052,15.008,4.442
100000,older,further boosting random,80.0%,TP_low,1.75 (year),2.0 (year),1.5 - 3.0 years,62431.93,23361.4,323.38,2711.622,32.054,250.368,31.044,0.012,0.006,0.1,0.232,0.626,3.422,7.886,14.574,4.186
100000,older,further boosting random,80.0%,TP_low,2.0 (year),2.0 (year),1.5 - 3.0 years,61280.31,22819.94,310.774,2615.914,30.806,244.812,29.822,0.018,0.006,0.114,0.256,0.644,3.194,7.776,13.862,3.952
100000,older,further boosting random,80.0%,TP_low,2.25 (year),2.0 (year),1.5 - 3.0 years,62956.21,23658.74,334.926,2831.778,32.706,258.656,32.528,0.002,0.002,0.112,0.238,0.652,3.494,8.386,15.178,4.464
100000,older,further boosting random,80.0%,TP_low,2.5 (year),2.0 (year),1.5 - 3.0 years,63784.95,24032.14,342.288,2873.558,33.524,268.332,32.736,0.01,0.002,0.116,0.26,0.794,3.5,8.334,15.302,4.418
100000,older,further boosting random,80.0%,TP_low,1.75 (year),2.25 (year),1.5 - 3.0 years,65709.17,24671.29,352.072,2834.086,34.56,274.506,32.198,0.016,0.01,0.07,0.29,0.732,3.534,8.39,14.986,4.17
100000,older,further boosting random,80.0%,TP_low,2.0 (year),2.25 (year),1.5 - 3.0 years,65749.63,24522.81,342.17,2727.51,33.264,262.012,30.82,0.006,0.004,0.102,0.26,0.792,3.38,7.966,14.174,4.136
100000,older,further boosting random,80.0%,TP_low,2.25 (year),2.25 (year),1.5 - 3.0 years,65190.87,24195.94,332.92,2672.456,32.38,254.198,30.206,0.008,0.004,0.104,0.246,0.7,3.318,7.926,13.886,4.014
100000,older,further boosting random,80.0%,TP_low,2.5 (year),2.25 (year),1.5 - 3.0 years,66791.04,24989.63,354.212,2865.45,34.338,275.114,32.398,0.006,0.004,0.082,0.312,0.86,3.474,8.4,14.708,4.552
100000,older,further boosting random,80.0%,TP_low,1.75 (year),2.5 (year),1.5 - 3.0 years,72247.38,26805.21,368.28,2666.448,36.076,270.246,28.47,0.002,0.014,0.092,0.216,0.708,3.168,7.778,12.884,3.608
100000,older,further boosting random,80.0%,TP_low,2.0 (year),2.5 (year),1.5 - 3.0 years,72312.89,26798.46,363.564,2615.54,35.88,274.15,27.554,0.006,0.012,0.078,0.266,0.654,3.276,7.28,12.58,3.402
100000,older,further boosting random,80.0%,TP_low,2.25 (year),2.5 (year),1.5 - 3.0 years,73898.59,27211.39,356.47,2530.53,34.374,251.686,27.064,0.008,0.008,0.098,0.206,0.65,3.05,7.384,12.256,3.404
100000,older,further boosting random,80.0%,TP_low,2.5 (year),2.5 (year),1.5 - 3.0 years,73274.56,26874.75,346.91,2464.508,33.98,251.036,25.936,0.01,0.006,0.078,0.206,0.686,2.962,6.918,11.88,3.19
100000,younger,no further boosting,80.0%,TP_low,never,1.5 (year),1.5 - 3.0 years,95061.41,29635.38,206.808,1397.29,20.974,161.45,15.888,0.04,0.018,0.138,0.222,0.548,2.22,4.842,7.15,0.71
100000,younger,no further boosting,80.0%,TP_low,never,1.75 (year),1.5 - 3.0 years,81226.22,25895.26,199.726,1374.6,19.594,150.818,14.83,0.034,0.014,0.126,0.262,0.474,2.098,4.316,6.746,0.76
100000,younger,no further boosting,80.0%,TP_low,never,2.0 (year),1.5 - 3.0 years,63227.2,20672.6,184.434,1351.972,18.584,142.802,15.172,0.018,0.008,0.114,0.254,0.494,2.15,4.2,6.944,0.99
100000,younger,no further boosting,80.0%,TP_low,never,2.25 (year),1.5 - 3.0 years,66555.78,21806.58,202.406,1465.13,20.392,154.586,16.704,0.024,0.022,0.116,0.31,0.502,2.268,4.642,7.746,1.074
100000,younger,no further boosting,80.0%,TP_low,never,2.5 (year),1.5 - 3.0 years,78622.01,25347.59,209.964,1407.354,20.992,160.196,15.02,0.024,0.012,0.132,0.236,0.486,2.192,4.262,6.87,0.806
100000,younger,further boosting pediatric,80.0%,TP_low,1.75 (year),1.5 (year),1.5 - 3.0 years,94169.03,29419.59,206.714,1383.566,21.116,162.002,15.834,0.044,0.01,0.124,0.25,0.524,2.35,4.788,7.042,0.702
100000,younger,further boosting pediatric,80.0%,TP_low,2.0 (year),1.5 (year),1.5 - 3.0 years,94319.67,29528.82,208.148,1383.562,21.314,159.1,16.06,0.048,0.004,0.15,0.228,0.49,2.33,4.958,7.12,0.732
100000,younger,further boosting pediatric,80.0%,TP_low,2.25 (year),1.5 (year),1.5 - 3.0 years,93091.11,29193.76,206.118,1384.45,21.156,158.226,15.712,0.05,0.014,0.11,0.254,0.5,2.396,4.844,6.874,0.67
100000,younger,further boosting pediatric,80.0%,TP_low,2.5 (year),1.5 (year),1.5 - 3.0 years,92159.36,28906.4,203.804,1397.82,21.16,164.288,15.8,0.044,0.016,0.118,0.23,0.488,2.438,4.856,6.922,0.688
100000,younger,further boosting pediatric,80.0%,TP_low,1.75 (year),1.75 (year),1.5 - 3.0 years,78728.13,25127.77,196.186,1357.13,19.338,146.826,14.426,0.034,0.014,0.114,0.256,0.482,1.914,4.094,6.724,0.794
100000,younger,further boosting pediatric,80.0%,TP_low,2.0 (year),1.75 (year),1.5 - 3.0 years,78936.72,25226.83,196.686,1364.182,19.31,145.508,14.236,0.04,0.012,0.118,0.202,0.446,2.006,4.024,6.51,0.878
100000,younger,further boosting pediatric,80.0%,TP_low,2.25 (year),1.75 (year),1.5 - 3.0 years,76760.15,24559.11,191.59,1335.008,18.726,144.918,14.274,0.052,0.008,0.116,0.242,0.476,1.942,4.154,6.428,0.856
100000,younger,further boosting pediatric,80.0%,TP_low,2.5 (year),1.75 (year),1.5 - 3.0 years,77635.82,24863.36,194.378,1324.676,18.878,142.87,14.132,0.03,0.016,0.112,0.22,0.418,1.976,4.106,6.408,0.846
100000,younger,further boosting pediatric,80.0%,TP_low,1.75 (year),2.0 (year),1.5 - 3.0 years,61915.67,20252.74,182.708,1342.318,18.714,143.424,15.4,0.032,0.004,0.112,0.234,0.48,2.07,4.25,7.164,1.054
100000,younger,further boosting pediatric,80.0%,TP_low,2.0 (year),2.0 (year),1.5 - 3.0 years,61284.63,20049.39,181.842,1337.088,18.372,143.734,15.396,0.042,0.016,0.118,0.23,0.442,2.146,4.268,7.184,0.95
100000,younger,further boosting pediatric,80.0%,TP_low,2.25 (year),2.0 (year),1.5 - 3.0 years,62825.83,20538.83,183.422,1341.896,18.776,147.906,15.554,0.042,0.006,0.132,0.198,0.504,2.138,4.432,7.17,0.932
100000,younger,further boosting pediatric,80.0%,TP_low,2.5 (year),2.0 (year),1.5 - 3.0 years,62927.09,20604.8,183.648,1351.538,18.952,147.744,15.574,0.022,0.014,0.118,0.246,0.514,2.138,4.342,7.214,0.966
100000,younger,further boosting pediatric,80.0%,TP_low,1.75 (year),2.25 (year),1.5 - 3.0 years,65365.52,21442.43,202.528,1462.79,20.448,155.954,16.564,0.026,0.01,0.122,0.282,0.546,2.26,4.484,7.802,1.032
100000,younger,further boosting pediatric,80.0%,TP_low,2.0 (year),2.25 (year),1.5 - 3.0 years,65269.56,21385.13,202.51,1457.196,19.848,153.092,16.158,0.036,0.004,0.118,0.246,0.47,2.17,4.42,7.616,1.078
100000,younger,further boosting pediatric,80.0%,TP_low,2.25 (year),2.25 (year),1.5 - 3.0 years,65004.95,21296.85,201.904,1450.162,19.98,149.782,16.482,0.032,0.01,0.116,0.24,0.532,2.198,4.4,7.836,1.118
100000,younger,further boosting pediatric,80.0%,TP_low,2.5 (year),2.25 (year),1.5 - 3.0 years,66509.69,21791.85,201.698,1449.914,20.452,155.394,16.362,0.032,0.012,0.118,0.26,0.548,2.136,4.604,7.522,1.13
100000,younger,further boosting pediatric,80.0%,TP_low,1.75 (year),2.5 (year),1.5 - 3.0 years,76945.55,24901.09,210.41,1426.098,20.996,152.784,15.22,0.032,0.008,0.094,0.18,0.494,2.07,4.316,7.144,0.882
100000,younger,further boosting pediatric,80.0%,TP_low,2.0 (year),2.5 (year),1.5 - 3.0 years,76280.64,24699.79,209.56,1404.248,21.092,170.12,15.238,0.018,0.002,0.102,0.206,0.438,2.06,4.308,7.234,0.87
100000,younger,further boosting pediatric,80.0%,TP_low,2.25 (year),2.5 (year),1.5 - 3.0 years,76529.8,24759.25,209.362,1429.866,20.564,156.394,15.292,0.022,0.01,0.098,0.212,0.448,2.088,4.26,7.226,0.928
100000,younger,further boosting pediatric,80.0%,TP_low,2.5 (year),2.5 (year),1.5 - 3.0 years,76471.95,24725.28,208.448,1395.514,20.608,155.224,14.736,0.034,0.008,0.114,0.202,0.518,2.018,4.232,6.742,0.868
100000,younger,further boosting high risk,80.0%,TP_low,1.75 (year),1.5 (year),1.5 - 3.0 years,92294.51,28534.14,177.35,1155.61,18.688,142.836,13.278,0.038,0.014,0.16,0.246,0.52,2.276,3.938,5.528,0.558
100000,younger,further boosting high risk,80.0%,TP_low,2.0 (year),1.5 (year),1.5 - 3.0 years,90027.82,27982.98,179.27,1140.664,17.99,135.232,12.706,0.028,0.01,0.106,0.228,0.45,1.952,3.796,5.564,0.572
100000,younger,further boosting high risk,80.0%,TP_low,2.25 (year),1.5 (year),1.5 - 3.0 years,79807.86,24772.14,157.404,1020.468,15.846,116.58,11.26,0.026,0.01,0.086,0.228,0.424,1.678,3.254,5.008,0.546
100000,younger,further boosting high risk,80.0%,TP_low,2.5 (year),1.5 (year),1.5 - 3.0 years,76821.96,23721.63,151.418,1035.302,15.828,127.362,12.17,0.044,0.016,0.11,0.214,0.522,1.938,3.542,5.132,0.652
100000,younger,further boosting high risk,80.0%,TP_low,1.75 (year),1.75 (year),1.5 - 3.0 years,76787.22,23906.02,137.942,801.7,14.144,100.592,8.61,0.034,0.008,0.102,0.232,0.454,1.564,2.278,3.568,0.37
100000,younger,further boosting high risk,80.0%,TP_low,2.0 (year),1.75 (year),1.5 - 3.0 years,66561.0,21194.96,158.33,1087.276,15.29,114.468,11.824,0.044,0.014,0.104,0.21,0.458,1.814,3.336,5.098,0.746
100000,younger,further boosting high risk,80.0%,TP_low,2.25 (year),1.75 (year),1.5 - 3.0 years,61872.69,19833.98,158.176,1146.92,15.678,122.374,12.492,0.028,0.008,0.096,0.208,0.414,1.714,3.55,5.712,0.762
100000,younger,further boosting high risk,80.0%,TP_low,2.5 (year),1.75 (year),1.5 - 3.0 years,60909.77,19503.42,153.436,1144.288,16.044,123.736,13.312,0.036,0.012,0.094,0.186,0.426,1.88,3.91,6.04,0.728
100000,younger,further boosting high risk,80.0%,TP_low,1.75 (year),2.0 (year),1.5 - 3.0 years,59523.49,18948.84,119.716,765.176,12.254,93.538,8.722,0.026,0.014,0.11,0.206,0.466,1.474,2.39,3.694,0.342
100000,younger,further boosting high risk,80.0%,TP_low,2.0 (year),2.0 (year),1.5 - 3.0 years,58618.68,18460.79,103.61,638.088,10.662,77.082,6.978,0.026,0.006,0.112,0.21,0.524,1.476,1.7,2.666,0.258
100000,younger,further boosting high risk,80.0%,TP_low,2.25 (year),2.0 (year),1.5 - 3.0 years,61885.15,20156.69,174.704,1293.198,17.382,137.078,14.534,0.024,0.016,0.12,0.228,0.42,2.044,4.022,6.672,0.988
100000,younger,further boosting high risk,80.0%,TP_low,2.5 (year),2.0 (year),1.5 - 3.0 years,62553.85,20453.98,185.448,1355.058,17.834,138.722,15.138,0.032,0.012,0.106,0.232,0.508,2.006,4.146,7.016,1.08
100000,younger,further boosting high risk,80.0%,TP_low,1.75 (year),2.25 (year),1.5 - 3.0 years,62373.91,20249.18,157.108,1043.956,15.416,122.146,11.126,0.034,0.006,0.1,0.226,0.526,1.684,3.18,4.782,0.588
100000,younger,further boosting high risk,80.0%,TP_low,2.0 (year),2.25 (year),1.5 - 3.0 years,61769.26,19746.33,132.918,858.428,13.438,101.534,8.926,0.042,0.014,0.108,0.236,0.512,1.528,2.528,3.552,0.406
100000,younger,further boosting high risk,80.0%,TP_low,2.25 (year),2.25 (year),1.5 - 3.0 years,62108.7,19639.46,123.106,766.648,12.43,95.126,8.078,0.02,0.01,0.128,0.28,0.488,1.464,2.02,3.316,0.352
100000,younger,further boosting high risk,80.0%,TP_low,2.5 (year),2.25 (year),1.5 - 3.0 years,65687.42,21413.94,192.5,1361.858,18.724,144.9,15.18,0.036,0.016,0.126,0.222,0.5,2.14,3.954,7.16,1.026
100000,younger,further boosting high risk,80.0%,TP_low,1.75 (year),2.5 (year),1.5 - 3.0 years,65861.89,21529.31,181.884,1152.77,17.754,134.482,12.242,0.03,0.004,0.12,0.242,0.59,1.826,3.364,5.376,0.69
100000,younger,further boosting high risk,80.0%,TP_low,2.0 (year),2.5 (year),1.5 - 3.0 years,66213.27,21410.79,162.716,979.304,16.144,122.85,10.098,0.022,0.026,0.134,0.282,0.484,1.638,2.782,4.242,0.488
100000,younger,further boosting high risk,80.0%,TP_low,2.25 (year),2.5 (year),1.5 - 3.0 years,71907.34,22728.7,145.516,867.29,14.404,103.822,9.076,0.03,0.008,0.082,0.236,0.502,1.596,2.332,3.784,0.506
100000,younger,further boosting high risk,80.0%,TP_low,2.5 (year),2.5 (year),1.5 - 3.0 years,71097.76,22475.86,144.822,937.37,14.374,100.118,9.776,0.032,0.018,0.082,0.22,0.456,1.42,2.452,4.414,0.682
100000,younger,further boosting random,80.0%,TP_low,1.75 (year),1.5 (year),1.5 - 3.0 years,93162.61,29034.31,200.768,1336.39,20.63,155.1,15.152,0.032,0.014,0.11,0.248,0.452,2.362,4.648,6.634,0.652
100000,younger,further boosting random,80.0%,TP_low,2.0 (year),1.5 (year),1.5 - 3.0 years,93187.57,29108.09,203.934,1352.328,20.768,155.35,15.484,0.044,0.014,0.106,0.234,0.498,2.3,4.618,6.894,0.776
100000,younger,further boosting random,80.0%,TP_low,2.25 (year),1.5 (year),1.5 - 3.0 years,90201.39,28208.72,196.534,1334.15,20.058,156.348,15.136,0.048,0.016,0.14,0.21,0.516,2.182,4.508,6.896,0.62
100000,younger,further boosting random,80.0%,TP_low,2.5 (year),1.5 (year),1.5 - 3.0 years,87708.95,27419.02,192.216,1350.174,20.638,159.322,16.016,0.032,0.014,0.13,0.262,0.468,2.43,4.86,7.066,0.754
100000,younger,further boosting random,80.0%,TP_low,1.75 (year),1.75 (year),1.5 - 3.0 years,78422.88,24854.91,186.122,1251.944,18.188,135.066,13.526,0.038,0.004,0.096,0.194,0.402,2.002,3.88,6.092,0.818
