group,popType,scenarioBoostStart,scenarioImmuneEscape,scenarioVaxCoverage,scenario,vaxCoverage,tpLevel,boostStart,immuneEscape,ageScenario,nVaxDoses,nAsymptom,nHomecare,nAdmitWard,nAdmitICU,nOccupyWard,nOccupyICU,nDeaths,costHome,costWard,costICU,costDeath,costDoses,costDisease,cost,yldAsymptom,yldHomecare,yldAdmitWard,yldAdmitICU,yll,yllU,yld,daly,dalyU,daly0,cost0,iDaly,iCost,icer
A,Older,Pediatric boosting at 1.75 yr,"Pediatric boosting, immune escape 2.25 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,1.75 yr,2.25 yr,No,11000,41490.057,24633.2318,327.303,35.3662,2947.6368,283.2642,33.118,1840471.913937,1034952.12594,734653.4924655001,2136.1110000000003,450906.50000000006,3612213.6433425006,4063120.1433425006,0,24.09332534958904,3.6657936000000007,0.8539241660273973,481.44316895901375,666.3045664263999,28.61304311561644,510.0562120746302,694.9176095420163,510.7050454553437,3642705.3433560003,0.6488333807134836,420414.7999865003,647954.9488101167
A,Older,Pediatric boosting at 2.00 yr,"Pediatric boosting, immune escape 2.25 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.00 yr,2.25 yr,No,11000,41496.085,24604.4116,326.5898,35.3146,2942.4436,280.2896,33.1248,1838318.6126940001,1033128.728505,726938.785564,2136.5496,450906.50000000006,3600522.676363,4051429.176363,0,24.065136825205478,3.657805760000001,0.8526782734246576,481.8163994091388,666.8092150156333,28.57562085863014,510.39202026776894,695.3848358742634,510.7050454553437,3642705.3433560003,0.31302518757473763,408723.8330069999,1305721.8691368513
A,Older,Pediatric boosting at 2.25 yr,"Pediatric boosting, immune escape 2.25 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.25 yr,2.25 yr,No,11000,41215.012,24445.3192,324.3456,35.1582,2915.4258,279.6748,32.916,1826432.0240280002,1023642.4412025,725344.2848570001,2123.082,450906.50000000006,3577541.8320875005,4028448.3320875005,0,23.90953138191781,3.6326707200000006,0.8489019632876713,478.7434618249335,662.5351268837333,28.39110406520548,507.13456589013896,690.9262309489387,510.7050454553437,3642705.3433560003,3.570479565204721,385742.9887315002,108036.74455685698
A,Older,Pediatric boosting at 2.50 yr,"Pediatric boosting, immune escape 2.25 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.50 yr,2.25 yr,No,11000,42121.534,24890.516399999997,325.8672,35.1624,2946.0142,283.958,33.2266,1859694.9328259998,1034382.4107975,736452.8818450001,2143.1157,450906.50000000006,3632673.3411685,4083579.8411685,0,24.344970835068487,3.6497126400000006,0.849003373150685,482.8898139618744,668.1133248966,28.84368684821917,511.7335008100936,696.9570117448192,510.7050454553437,3642705.3433560003,-1.0284553547498945,440874.49781249976,-428676.35991813574
A,Older,Pediatric boosting at 1.75 yr,"Pediatric boosting, immune escape 2.50 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,1.75 yr,2.50 yr,No,11000,47055.333999999995,27371.7168,343.1678,37.4314,2763.0482,279.0236,30.1128,2045077.820712,970140.7611225001,723655.379749,1942.2756,450906.50000000006,3740816.2371834996,4191722.7371834996,0,26.771788760547942,3.8434793600000003,0.9037888443835617,440.8477925965323,611.3799348401667,31.519056964931504,472.3668495614638,642.8989918050981,481.22424395681156,3812148.9777155,8.85739439534774,379573.75946799945,42853.88484759885
A,Older,Pediatric boosting at 2.00 yr,"Pediatric boosting, immune escape 2.50 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.00 yr,2.50 yr,No,11000,47059.570999999996,27415.1502,344.3766,37.4702,2767.8582,278.1062,30.1454,2048322.947193,971829.6122475001,721276.0776205,1944.3782999999999,450906.50000000006,3743373.015361,4194279.515361,0,26.814270195616437,3.8570179200000005,0.9047256783561645,441.3022991664059,611.7236932706,31.576013793972603,472.8783129603785,643.2997070645727,481.22424395681156,3812148.9777155,8.345930996433083,382130.5376454997,45786.44824751321
A,Older,Pediatric boosting at 2.25 yr,"Pediatric boosting, immune escape 2.50 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.25 yr,2.50 yr,No,11000,47424.996999999996,27565.0072,343.2802,37.6236,2762.7594,279.1972,30.1536,2059519.512948,970039.3598325,724105.616123,1944.9072,450906.50000000006,3755609.3961035,4206515.8961035,0,26.960842658630135,3.8447382400000003,0.9084295528767125,442.18664600478417,613.2010925289333,31.714010451506848,473.900656456291,644.9151029804401,481.22424395681156,3812148.9777155,7.323587500520546,394366.9183880002,53848.87097477424
A,Older,Pediatric boosting at 2.50 yr,"Pediatric boosting, immune escape 2.50 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.50 yr,2.50 yr,No,11000,47291.702999999994,27442.071,340.34839999999997,37.3206,2725.9908,276.9152,29.701,2050334.334765,957129.444765,718187.1863680001,1915.7145,450906.50000000006,3727566.680398,4178473.180398,0,26.84060095068493,3.8119020800000003,0.9011135556164385,435.14413194199443,603.4845126201,31.553616586301366,466.6977485282958,635.0381292064013,481.22424395681156,3812148.9777155,14.526495428515773,366324.2026824998,25217.658621459293
A,Older,High-risk boosting at 1.75 yr,"High-risk boosting, immune escape 1.50 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,1.75 yr,1.50 yr,No,11000,62725.039,34530.4674,354.32120000000003,39.9294,3066.9334,306.6156,34.1608,2579943.871791,1076838.6534075,795215.990529,2203.3716,450906.50000000006,4454201.8873275,4905108.3873275,0,33.773635237808215,3.968397440000001,0.964103567671233,502.7335820172878,699.4829037928332,38.70613624547945,541.4397182627672,738.1890400383127,607.2181581092082,4749446.8496995,65.77843984644096,155661.53762799967,2366.4522599105394
A,Older,High-risk boosting at 2.00 yr,"High-risk boosting, immune escape 1.50 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.00 yr,1.50 yr,No,11000,62525.437999999995,34496.8598,361.5032,40.804,3204.5304,314.2032,35.9708,2577432.879957,1125150.68007,814894.639788,2320.1166,450906.50000000006,4519798.316415,4970704.816415,0,33.74076424273972,4.048835840000001,0.9852209643835618,526.1455970804125,729.7540575628667,38.77482104712329,564.9204181275358,768.52887860999,607.2181581092082,4749446.8496995,42.29773998167241,221257.96671549976,5230.964274010165
A,Older,High-risk boosting at 2.25 yr,"High-risk boosting, immune escape 1.50 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.25 yr,1.50 yr,No,11000,61874.275,33988.484399999994,348.4482,38.9284,3077.168,301.9544,34.1816,2539449.611946,1080432.1494,783127.0401460001,2204.7132,450906.50000000006,4405213.514692,4856120.014692,0,33.24353131726026,3.9026198400000003,0.9399342169863015,500.954991186466,695.5117644752,38.086085374246565,539.0410765607126,733.5978498494466,607.2181581092082,4749446.8496995,68.17708154849561,106673.1649925001,1564.648450324491
A,Older,High-risk boosting at 2.50 yr,"High-risk boosting, immune escape 1.50 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.50 yr,1.50 yr,No,11000,61321.761999999995,33543.9874,339.16819999999996,37.5964,3020.602,290.9416,33.2518,2506239.0185909998,1060571.1197249999,754565.0404940001,2144.7411,450906.50000000006,4323519.919910001,4774426.419910001,0,32.808776717260265,3.7986838400000003,0.9077728032876714,487.78757758761293,677.8088162813333,37.51523336054794,525.3028109481609,715.3240496418812,607.2181581092082,4749446.8496995,81.9153471610473,24979.57021050062,304.9437141661655
A,Older,High-risk boosting at 1.75 yr,"High-risk boosting, immune escape 1.75 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,1.75 yr,1.75 yr,No,11000,45069.996,25230.0834,244.37460000000002,28.566,2013.5958,218.8724,22.6128,1885065.681231,706998.6553275001,567651.588391,1458.5256,450906.50000000006,3161174.4505495,3612080.9505495,0,24.67709527068493,2.7369955200000007,0.6897319397260274,345.4708748790412,489.5042404721999,28.103822730410958,373.5746976094522,517.6080632026109,503.16440989034356,3672381.0528375003,129.58971228089138,-60300.102288000286,-465.3155040370579
A,Older,High-risk boosting at 2.00 yr,"High-risk boosting, immune escape 1.75 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.00 yr,1.75 yr,No,11000,44467.669,25414.862,293.473,33.311,2659.9936,260.2362,30.0598,1898871.41433,933957.0028799999,674929.7411955,1938.8571,450906.50000000006,3509697.0155055,3960603.5155055,0,24.85782392876712,3.2868976000000005,0.8043009397260275,439.2839663730127,609.3163324627666,28.949022468493148,468.2329888415058,638.2653549312597,503.16440989034356,3672381.0528375003,34.93142104883776,288222.4626679998,8251.094688218804
A,Older,High-risk boosting at 2.25 yr,"High-risk boosting, immune escape 1.75 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.25 yr,1.75 yr,No,11000,43937.44899999999,25279.7496,304.5474,34.348,2838.7424,268.6086,31.9466,1888776.4913640001,996717.9409200001,696643.7908365001,2060.5557,450906.50000000006,3584198.7788205002,4035105.2788205002,0,24.725672896438354,3.4109308800000004,0.8293395178082192,462.99945269274326,639.1291157644999,28.965943294246575,491.96539598698985,668.0950590587465,503.16440989034356,3672381.0528375003,11.199013903353716,362724.2259829999,32388.94326886911
A,Older,High-risk boosting at 2.50 yr,"High-risk boosting, immune escape 1.75 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.50 yr,1.75 yr,No,11000,43859.028,25196.466399999998,302.98,34.2256,2860.0214,271.2898,32.5114,1882553.9870759998,1004189.2638075,703597.5567695,2096.9853000000003,450906.50000000006,3592437.792953,4043344.292953,0,24.644215081643832,3.393376000000001,0.8263841446575343,471.5025607242542,651.2340043947333,28.863975226301367,500.36653595055554,680.0979796210347,503.16440989034356,3672381.0528375003,2.797873939788019,370963.2401154996,132587.54615070528
A,Older,High-risk boosting at 1.75 yr,"High-risk boosting, immune escape 2.00 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,1.75 yr,2.00 yr,No,11000,39690.649999999994,23064.008,246.20420000000001,28.2738,2119.2916,222.7722,24.6058,1723227.3577200002,744109.771905,577765.8269355,1587.0740999999998,450906.50000000006,3046690.0306605,3497596.5306605,0,22.558495495890412,2.7574870400000004,0.6826767106849316,370.5339277355519,521.1584360913333,25.998659246575343,396.53258698212727,547.1570953379087,513.5079836372947,3503301.213069,116.97539665516746,-5704.682408499997,-48.768224529444154
A,Older,High-risk boosting at 2.00 yr,"High-risk boosting, immune escape 2.00 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.00 yr,2.00 yr,No,11000,39435.88100000001,22604.4332,225.5304,26.3874,1888.2018,208.169,21.829,1688890.226538,662971.25450250006,539892.0261475,1407.9705000000001,450906.50000000006,2893161.477688,3344067.977688,0,22.108993568219176,2.52594048,0.6371291950684932,335.8171253655193,477.01693201129996,25.27206324328767,361.089188608807,502.28899525458763,513.5079836372947,3503301.213069,152.41879502848775,-159233.23538099974,-1044.7086617581404
A,Older,High-risk boosting at 2.25 yr,"High-risk boosting, immune escape 2.00 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.25 yr,2.00 yr,No,11000,39810.363,23483.6008,293.46360000000004,32.8676,2704.1928,259.1342,31.3318,1754577.233772,949475.89449,672071.6738905001,2020.9011,450906.50000000006,3378145.7032525004,3829052.2032525004,0,22.968891741369863,3.286792320000001,0.7935949556164386,457.55444144038466,634.2211179320667,27.0492790169863,484.60372045737097,661.270396949053,513.5079836372947,3503301.213069,28.90426317992376,325750.9901835006,11269.998067612385
A,Older,High-risk boosting at 2.50 yr,"High-risk boosting, immune escape 2.00 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.50 yr,2.00 yr,No,11000,39973.05,23719.898800000003,307.5282,34.099,2876.7734,271.706,33.3394,1772232.2388420003,1010071.1004075,704676.9829150001,2150.3913,450906.50000000006,3489130.7134645,3940037.2134645,0,23.20001060712329,3.4443158400000007,0.8233273616438356,483.1988142604183,666.9710095140333,27.467653808767125,510.66646806918544,694.4386633228005,513.5079836372947,3503301.213069,2.841515568109287,436736.0003955001,153698.260638459
A,Older,High-risk boosting at 1.75 yr,"High-risk boosting, immune escape 2.25 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,1.75 yr,2.25 yr,No,11000,41710.693,24392.546,284.4934,31.4036,2425.3432,246.3558,27.4546,1822489.07439,851568.3143099999,638930.5420845,1770.8217,450906.50000000006,3314758.7524845004,3765665.2524845004,0,23.857914854794515,3.1863260800000006,0.7582463747945206,408.70658329400493,572.3668993282,27.802487309589036,436.50907060359395,600.1693866377891,510.7050454553437,3642705.3433560003,74.19597485174972,122959.90912850015,1657.2315327642123
A,Older,High-risk boosting at 2.00 yr,"High-risk boosting, immune escape 2.25 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.00 yr,2.25 yr,No,11000,41970.00200000001,24236.730000000003,261.892,29.51,2156.9566,230.1422,24.5036,1810847.2819500002,757334.4242175,596880.1246105001,1580.4822,450906.50000000006,3166642.3129780004,3617548.8129780004,0,23.705514,2.9331904000000004,0.7125250136986303,371.8928145379116,525.1878581066,27.351229413698633,399.24404395161025,552.5390875202986,510.7050454553437,3642705.3433560003,111.46100150373343,-25156.53037799988,-225.69804719686869
A,Older,High-risk boosting at 2.25 yr,"High-risk boosting, immune escape 2.25 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.25 yr,2.25 yr,No,11000,41725.643,23825.0228,245.8102,27.793,1978.255,214.1822,22.2866,1780086.578502,694590.0586875001,555487.4257105,1437.4857,450906.50000000006,3031601.5486000003,3482508.0486000003,0,23.30283051945205,2.7530742400000006,0.671067695890411,342.34976601031303,486.4837828504,26.726972455342462,369.07673846565547,513.2107553057425,510.7050454553437,3642705.3433560003,141.6283069896882,-160197.29475599993,-1131.11070915833
A,Older,High-risk boosting at 2.50 yr,"High-risk boosting, immune escape 2.25 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.50 yr,2.25 yr,No,11000,42174.311,24710.438000000002,309.3658,33.7332,2748.1464,267.9772,30.9922,1846240.3751700001,964908.55287,695006.237573,1998.9969,450906.50000000006,3508154.1625130004,3959060.6625130004,0,24.16883935890411,3.4648969600000004,0.8144950454794521,454.3198845565714,631.4735624431333,28.44823136438356,482.768115920955,659.9217938075169,510.7050454553437,3642705.3433560003,27.936929534388696,316355.31915700017,11323.91155468913
A,Older,High-risk boosting at 1.75 yr,"High-risk boosting, immune escape 2.50 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,1.75 yr,2.50 yr,No,11000,47248.234,27050.785,305.21840000000003,33.4396,2331.8738,248.3924,24.7492,2021099.401275,818750.0396024999,644212.5201910001,1596.3234,450906.50000000006,3485658.2844685,3936564.7844685,0,26.45789108219178,3.4184460800000007,0.8074060131506849,370.5439521192957,519.5105060446333,30.683743175342467,401.2276952946381,550.1942492199757,481.22424395681156,3812148.9777155,79.99654866217344,124415.80675299978,1555.2646812103044
A,Older,High-risk boosting at 2.00 yr,"High-risk boosting, immune escape 2.50 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.00 yr,2.50 yr,No,11000,47490.903000000006,27025.343,290.7472,32.1098,2187.8614,238.8734,23.3002,2019198.502245,768185.4858075,619524.7319185,1502.8629,450906.50000000006,3408411.5828710003,3859318.0828710003,0,26.43300671506849,3.2563686400000007,0.7752977189041097,352.8366676351675,497.02383119256666,30.4646730739726,383.3013407091401,527.4885042665393,481.22424395681156,3812148.9777155,97.92290324767146,47169.10515550012,481.6963508138406
A,Older,High-risk boosting at 2.25 yr,"High-risk boosting, immune escape 2.50 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.25 yr,2.50 yr,No,11000,48014.29800000001,27152.3826,281.489,31.0894,2124.617,231.0212,22.8022,2028690.2659590002,745979.5864125001,599159.835283,1470.7419,450906.50000000006,3375300.4295545,3826206.9295545,0,26.55726188547945,3.1526768,0.7506599512328769,345.86501574333823,487.7971223378666,30.460598636712326,376.3256143800506,518.2577209745789,481.22424395681156,3812148.9777155,104.89862957676098,14057.951838999987,134.01463770995113
A,Older,High-risk boosting at 2.50 yr,"High-risk boosting, immune escape 2.50 yr","High-risk boosting, coverage 80%",High-risk boosting,80%,low TP,2.50 yr,2.50 yr,No,11000,47720.302,26864.2508,271.8562,30.27,2076.8708,224.548,22.1524,2007162.4985220002,729215.2987650001,582371.41307,1428.8298,450906.50000000006,3320178.040157,3771084.540157,0,26.275445303013697,3.0447894400000006,0.7308753698630137,335.6081600544587,473.3556474564667,30.051110112876714,365.6592701673354,503.4067575693434,481.22424395681156,3812148.9777155,115.56497378947614,-41064.437558500096,-355.3363637091882
A,Older,Random boosting at 1.75 yr,"Random boosting, immune escape 1.50 yr","Random boosting, coverage 80%",Random boosting,80%,low TP,1.75 yr,1.50 yr,No,11000,61409.532,34154.3706,375.8386,41.9178,3342.268,323.3336,37.2918,2551843.7993790004,1173512.07315,838574.583274,2405.3211,450906.50000000006,4566335.776903001,5017242.276903001,0,33.405781655342466,4.20939232,1.0121138942465755,540.1993832890269,745.6362480967666,38.62728786958904,578.8266711586159,784.2635359663557,607.2181581092082,4749446.8496995,28.391486950592252,267795.42720350064,9432.243815532684
A,Older,Random boosting at 2.00 yr,"Random boosting, immune escape 1.50 yr","Random boosting, coverage 80%",Random boosting,80%,low TP,2.00 yr,1.50 yr,No,11000,59962.078,33493.703799999996,368.97860000000003,41.1676,3256.1824,314.2656,36.2486,2502482.0794169996,1143286.3429200002,815056.4759040001,2338.0347,450906.50000000006,4463162.932941,4914069.432941,0,32.75959522356164,4.1325603200000005,0.9940001610958905,525.4502035027649,725.7117653671,37.88615570465753,563.3363592074224,763.5979210717576,607.2181581092082,4749446.8496995,43.881798901785714,164622.58324149996,3751.500334112348
